Current_State,Recommended_Action,Predicted_Next_State,Reward,Projected_Energy_Saving (%),Confidence (%),Confidence_Level
0.0-0.0-0.3,Do Nothing,"(0.0, 0.0, 0.3)",0.0,0.0,0.0,Low
0.0-0.0-0.7,Do Nothing,"(0.0, 0.0, 0.7)",0.0,0.0,0.0,Low
0.1-0.0-0.2,Do Nothing,"(0.1, 0.0, 0.2)",0.0,0.0,0.0,Low
0.1-0.0-0.3,Do Nothing,"(0.1, 0.0, 0.3)",0.0,0.0,0.0,Low
0.1-0.0-0.4,Do Nothing,"(0.1, 0.0, 0.4)",0.0,0.0,0.0,Low
0.1-0.0-0.5,Do Nothing,"(0.1, 0.0, 0.5)",0.0,0.0,0.0,Low
0.1-0.0-0.6,Do Nothing,"(0.1, 0.0, 0.6)",0.0,0.0,0.0,Low
0.1-0.0-0.9,Do Nothing,"(0.1, 0.0, 0.9)",0.0,0.0,0.0,Low
0.1-0.1-0.2,Do Nothing,"(0.1, 0.1, 0.2)",0.0,0.0,0.0,Low
0.1-0.1-0.3,Do Nothing,"(0.1, 0.1, 0.3)",0.0,0.0,0.0,Low
0.1-0.1-0.4,Do Nothing,"(0.1, 0.1, 0.4)",0.0,0.0,0.0,Low
0.1-0.1-0.5,Do Nothing,"(0.1, 0.1, 0.5)",0.0,0.0,0.0,Low
0.1-0.1-0.6,Do Nothing,"(0.1, 0.1, 0.6)",0.0,0.0,0.0,Low
0.1-0.2-0.3,Do Nothing,"(0.1, 0.2, 0.3)",0.0,0.0,0.0,Low
0.1-0.2-0.4,Do Nothing,"(0.1, 0.2, 0.4)",0.0,0.0,0.0,Low
0.1-0.3-0.3,Do Nothing,"(0.1, 0.3, 0.3)",0.0,0.0,0.0,Low
0.1-0.3-0.4,Do Nothing,"(0.1, 0.3, 0.4)",0.0,0.0,0.0,Low
0.2-0.0-0.2,Reduce HVAC,"(0.1, 0.0, 0.3)",0.1,50.0,27.6,Low
0.2-0.0-0.3,Reduce HVAC,"(0.1, 0.0, 0.4)",0.1,50.0,27.6,Low
0.2-0.0-0.4,Reduce HVAC,"(0.1, 0.0, 0.5)",0.1,50.0,27.6,Low
